#,name,size,memory_type,price,producer,clock,timings,sticks,image_url,gaming,graphic design,programming,office
70,Corsair Vengeance LPX black,64,DDR4,359.99,Corsair,3200,16-20-20-38,4,https://cdna.pcpartpicker.com/static/forever/images/product/2bf9c19005b3014bc81be0ca4a35323e.256p.jpg,TRUE,TRUE,FALSE,FALSE
71,Corsair Vengeance LPX blue DDR4-2133  CL13,16,DDR4,41.99,Corsair,2133,,4,https://cdna.pcpartpicker.com/static/forever/images/product/97f4efea4a46c0f35748c429fca636cc.256p.jpg,FALSE,FALSE,TRUE,FALSE
72,Corsair Vengeance LPX Blue DDR4-2400  CL14,32,DDR4,104.99,Corsair,2400,,4,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,TRUE,FALSE,TRUE,FALSE
73,Corsair Vengeance LPX DDR4-2800 black CL16,32,DDR4,104.99,Corsair,2800,,1,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,TRUE,TRUE,TRUE,FALSE
74,Corsair Vengeance LPX Series black,16,DDR4,134.32,Corsair,2666,15-15-15-36,1,https://cdna.pcpartpicker.com/static/forever/images/product/854f4fb3eae606a42541249b498ddde7.256p.jpg,TRUE,FALSE,TRUE,FALSE
75,Corsair Vengeance LPX Series black DDR4-2400,128,DDR4,444.99,Corsair,2400,14-16-16-31,8,https://cdna.pcpartpicker.com/static/forever/images/product/97f4efea4a46c0f35748c429fca636cc.1600.jpg,FALSE,TRUE,FALSE,FALSE
76,Corsair Vengeance LPX Series black DDR4-2400,16,DDR4,41.99,Corsair,2400,14-16-16-31,4,https://cdna.pcpartpicker.com/static/forever/images/product/97f4efea4a46c0f35748c429fca636cc.256p.jpg,FALSE,FALSE,TRUE,TRUE
77,Corsair Vengeance LPX Series black DDR4-2400,16,DDR4,41.99,Corsair,2400,16-16-16-39,2,https://cdna.pcpartpicker.com/static/forever/images/product/97f4efea4a46c0f35748c429fca636cc.256p.jpg,FALSE,FALSE,TRUE,TRUE
78,Corsair Vengeance LPX Series black DDR4-2400,8,DDR4,24.99,Corsair,2400,14-16-16-31,2,https://cdna.pcpartpicker.com/static/forever/images/product/ef1c9d46308283f227a0ba51e4179ff1.1600.jpg,TRUE,FALSE,TRUE,FALSE
79,Corsair Vengeance LPX Series black DDR4-3000,32,DDR4,104.99,Corsair,3000,15-17-17-35,2,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,TRUE,TRUE,FALSE,FALSE
80,"Corsair Vengeance LPX Series black DDR4-3000, CL15 - 8 GB Kit",8,DDR4,24.99,Corsair,3000,15-17-17-35,2,https://cdna.pcpartpicker.com/static/forever/images/product/ef1c9d46308283f227a0ba51e4179ff1.1600.jpg,TRUE,TRUE,TRUE,FALSE
81,Corsair Vengeance LPX Series red,32,DDR4,134.32,Corsair,3000,15-17-17-35,2,https://cdna.pcpartpicker.com/static/forever/images/product/31b490b540e579887010f841eb1cb3a2.1600.jpg,TRUE,TRUE,FALSE,FALSE
82,Corsair Vengeance LPX Series white,32,DDR4,134.32,Corsair,2666,16-18-18-35,2,https://cdna.pcpartpicker.com/static/forever/images/product/64d8bb4527c9b024cfb8951f8154ff8e.1600.jpg,TRUE,TRUE,TRUE,FALSE
83,Corsair Vengeance Pro Blue DDR3-1600 CL9,16,DDR3,69.98,Corsair,1600,,2,https://cdna.pcpartpicker.com/static/forever/images/product/c8c550b5d013b34d3aa138781624bd7b.256p.jpg,FALSE,FALSE,TRUE,TRUE
84,Corsair Vengeance RGB,96,DDR5,384.99,Corsair,5200,38-38-38-84,2,https://cdna.pcpartpicker.com/static/forever/images/product/7e42ecfdfa4ab12b85c98c6865c66c58.1600.jpg,FALSE,TRUE,FALSE,FALSE
85,Corsair Vengeance RGB,32,DDR5,94.99,Corsair,6800,40-50-50-110,2,https://cdna.pcpartpicker.com/static/forever/images/product/5f09867b54e9ad932b4dd1bc767f6238.1600.jpg,TRUE,TRUE,FALSE,FALSE
86,Corsair Vengeance RGB Pro black,64,DDR4,189.99,Corsair,3600,18-22-22-42,2,https://images-eu.ssl-images-amazon.com/images/I/51pTfvjwsWL.jpg,TRUE,TRUE,FALSE,FALSE
87,Corsair Vengeance RGB Pro Series black,16,DDR4,69.98,Corsair,3200,16-18-18-36,2,https://cdna.pcpartpicker.com/static/forever/images/product/c8c550b5d013b34d3aa138781624bd7b.256p.jpg,TRUE,FALSE,TRUE,FALSE
88,Corsair Vengeance RGB Pro Series black,32,DDR4,104.99,Corsair,4266,19-26-26-46,4,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,TRUE,TRUE,FALSE,FALSE
89,Corsair Vengeance RGB Pro Series black,32,DDR4,104.99,Corsair,2933,16-18-18-35,4,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,TRUE,TRUE,FALSE,FALSE
90,Corsair Vengeance RGB Pro Series black,32,DDR4,104.99,Corsair,3000,15-17-17-35,2,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,TRUE,TRUE,FALSE,FALSE
91,Corsair Vengeance RGB Pro Series black,16,DDR4,69.98,Corsair,4000,19-23-23-45,2,https://cdna.pcpartpicker.com/static/forever/images/product/c8c550b5d013b34d3aa138781624bd7b.256p.jpg,TRUE,FALSE,TRUE,FALSE
