name,price,type,efficiency,wattage,image_url
Corsair RM750x (2018),168.99,ATX,gold,750,https://cdna.pcpartpicker.com/static/forever/images/product/b4a2d3f62255a1c35fd45aa3273c5173.256p.jpg
Corsair RM850,226.99,ATX,gold,850,https://cdna.pcpartpicker.com/static/forever/images/product/1752baa3ddb162df098cf33b0b6eeae3.256p.jpg
Corsair RM850x,184.99,ATX,gold,850,https://cdna.pcpartpicker.com/static/forever/images/product/4f19c6453ce4ebe67091e6d9735f3a19.256p.jpg
Corsair RM850x (2018),280.0,ATX,gold,850,https://m.media-amazon.com/images/I/51Ax0tT-ewL.jpg
Corsair RM850x White,336.2,ATX,gold,850,https://cdna.pcpartpicker.com/static/forever/images/product/f65b26700adeef63e855d55096fe6b9b.256p.jpg
Corsair SF750,184.99,SFX,platinum,750,https://m.media-amazon.com/images/I/41XA+O8OFNL.jpg
Corsair Vengeance 750M,94.99,ATX,silver,750,https://cdna.pcpartpicker.com/static/forever/images/product/a9d06a40b5845707f366e9ab1ba8be34.256p.jpg
Corsair VS500 (2020),123.09,ATX,bronze,500,https://cdna.pcpartpicker.com/static/forever/images/product/860fbedad1b951d51c8b3d7a056e8423.256p.jpg
Deepcool PM750D,100.14,ATX,gold,750,https://cdna.pcpartpicker.com/static/forever/images/product/eac8129c4d4f2b74be408ab713b5e005.256p.jpg
Deepcool PX-G,179.99,ATX,gold,1200,https://cdna.pcpartpicker.com/static/forever/images/product/351a0f0367d723ba6e01636d52a406b3.256p.jpg
