name,price,capacity,price_per_gb,type,cache,form_factor,interface,image_url
Western Digital Caviar Green,98.22,2000.0,0.049,5400,64.0,3.5,SATA 6.0 Gb/s,https://images-na.ssl-images-amazon.com/images/I/51rpntPX04L.jpg
Western Digital Gold,251.69,8000.0,0.031,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/213aa25a6480e72c40c2b6c44c4aa588.256p.jpg
Western Digital Gold,249.45,10000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/213aa25a6480e72c40c2b6c44c4aa588.256p.jpg
Western Digital Gold,275.99,12000.0,0.023,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/213aa25a6480e72c40c2b6c44c4aa588.256p.jpg
Western Digital Purple,51.93,1000.0,0.052,5400,64.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/8e32fbeaf3794a1547303d9d5e6b158a.256p.jpg
Western Digital Purple,330.0,14000.0,0.024,7200,512.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/8e32fbeaf3794a1547303d9d5e6b158a.256p.jpg
Western Digital RE,20.3,250.0,0.081,7200,64.0,3.5,SATA 6.0 Gb/s,https://m.media-amazon.com/images/I/41oBTPYwGdL.jpg
Western Digital Red,62.99,1000.0,0.063,5400,64.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/1ac710bded46038988de0ebfa909355a.256p.jpg
Western Digital Red,73.48,4000.0,0.018,5400,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/1ac710bded46038988de0ebfa909355a.256p.jpg
Western Digital Red,350.45,8000.0,0.044,5400,128.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/1ac710bded46038988de0ebfa909355a.256p.jpg
Western Digital Red Plus,72.99,2000.0,0.036,5400,128.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/0583aa15a3ba6cd0f607f453bdc6f8d4.256p.jpg
Western Digital Red Pro,409.99,22000.0,0.019,7200,512.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/1ac710bded46038988de0ebfa909355a.256p.jpg
Western Digital Scorpio Black,125.0,80.0,1.562,7200,16.0,2.5,SATA 3.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/c49268a8641d1b4781d25782b96de87d.256p.jpg
Western Digital Scorpio Blue,45.05,160.0,0.282,5400,8.0,2.5,SATA 1.5 Gb/s,https://m.media-amazon.com/images/I/51ASPtyUDpL.jpg
Western Digital SE,142.0,3000.0,0.047,7200,64.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/08105799a06f56c779261642b857dd7f.256p.jpg
Western Digital Ultrastar DC HC330,249.95,10000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/539b274877d099e122834768ec201def.256p.jpg
Western Digital VelociRaptor,130.02,600.0,0.217,10000,32.0,2.5,SATA 6.0 Gb/s,https://m.media-amazon.com/images/I/519fK6x1dGL.jpg
Western Digital WDBMYH5000ANC-NRSN,24.94,500.0,0.05,5400,8.0,2.5,SATA 3.0 Gb/s,https://m.media-amazon.com/images/I/41T0FM-iMML.jpg
