#,name,from_factor,socket,memory_type,memory_max_capacity,price,chipset,producer,ram_slots,m.2 pci-e 3.0,m.2 pci-e 4.0,usb 3 slots,usb 3 headers,usb 3 type-c,vga,dvi,display port,hdmi,pci-e 3.0,pci-e 4.0,external_image
50,ASRock Z390 Taich,ATX,1151,DDR4,128.0,195.99,Z390,ASRock,4,,0.0,,,,0.0,0.0,0.0,1.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/33ba1abe454ebfee3c2903bb1fecb58c.256p.jpg
51,ASRock Z390 Taichi Ultimate,ATX,1151,DDR4,128.0,254.99,Z390,ASRock,4,,0.0,,,,0.0,0.0,0.0,1.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/b9dbdf86ba704c89b45fe590f7164a74.256p.jpg
52,ASRock Z390M-ITX/AC,Mini-ITX,1151,DDR4,64.0,149.99,Z390,ASRock,2,,0.0,,,,0.0,0.0,1.0,2.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/9a6193f19335e71283c5158089c0225a.256p.jpg
53,ASRock Z490 Aqu,E-ATX,1200,DDR4,128.0,1030.99,Z490,ASRock,4,2.0,,4.0,,,0.0,0.0,0.0,1.0,5,0,https://cdna.pcpartpicker.com/static/forever/images/product/d7893755609db1feb833c99ad9d243bf.256p.jpg
54,ASRock Z490 Extreme,ATX,1200,DDR4,128.0,189.99,Z490,ASRock,4,2.0,0.0,2.0,1.0,,0.0,0.0,0.0,0.0,5,0,https://cdna.pcpartpicker.com/static/forever/images/product/c755830f28d0dab51a56165e922cb6d1.256p.jpg
55,ASRock Z490 Phantom Gaming-ITX/TB,Mini-ITX,1200,DDR4,64.0,279.99,Z490,ASRock,2,2.0,,2.0,,,0.0,0.0,1.0,1.0,1,0,https://cdna.pcpartpicker.com/static/forever/images/product/f0e3f73ddbb1fba3927c9afb843563d9.256p.jpg
56,ASRock Z490 Pro,ATX,1200,DDR4,128.0,169.99,Z490,ASRock,4,2.0,0.0,2.0,4.0,,0.0,0.0,0.0,0.0,5,0,https://cdna.pcpartpicker.com/static/forever/images/product/24cc66652169bc811f7a8e3cd5a0c5c2.256p.jpg
57,ASRock Z590M-ITX/a,Mini-ITX,1200,DDR4,64.0,169.99,Z590,ASRock,2,1.0,1.0,,,,0.0,0.0,1.0,1.0,0,1,https://cdna.pcpartpicker.com/static/forever/images/product/c554e90d4fd5bacfcec80e716ee6b307.256p.jpg
58,ASRock Z790 PG Lightning/D,ATX,1700,DDR4,128.0,169.99,Z790,ASRock,4,,1.0,5.0,,,0.0,0.0,0.0,1.0,3,1,https://cdna.pcpartpicker.com/static/forever/images/product/734e5145e6e94b381114913f48776a44.256p.jpg
59,ASRock Z790M PG Lightning/D,Micro-ATX,1700,DDR4,128.0,179.99,Z790,ASRock,4,,1.0,4.0,,,0.0,0.0,0.0,1.0,2,1,https://cdna.pcpartpicker.com/static/forever/images/product/38ea337431522ff4c9546f5aabff3cfb.256p.jpg
