#,name,pci-e,series,vram,cores,memory_clock,boost_clock,price,producer,length,slots,8-pin connectors,6-pin connectors,hdmi,display port,dvi,vga,sync,tdp,image_url,gaming,graphic design,programming,office
47,EVGA GeForce RTX 2080 XC Ultra,3.0,GeForce RTX 2080,8,2944,14000,1815,799.99,EVGA,269.2,5.0,1.0,0.0,1.0,3.0,0.0,0.0,G-Sync,225,https://cdna.pcpartpicker.com/static/forever/images/product/dc8f6e154e054c59c00ed4e2e9ad77d7.256p.jpg,TRUE,TRUE,FALSE,FALSE
48,EVGA GeForce RTX 3070 Ti FTW3 Ultra Gaming LHR,4.0,GeForce RTX 3070 Ti,8,6144,19000,1860,679.99,EVGA,300.0,2.75,2.0,0.0,1.0,3.0,0.0,0.0,,290,https://cdna.pcpartpicker.com/static/forever/images/product/7760e2607e7488a74486e8de8d3162b5.256p.jpg,TRUE,TRUE,FALSE,FALSE
49,EVGA GeForce RTX 3070 Ti XC3 Ultra Gaming LHR,4.0,GeForce RTX 3070 Ti,8,6144,19000,1815,669.99,EVGA,285.37,2.2,2.0,0.0,1.0,3.0,0.0,0.0,,290,https://cdna.pcpartpicker.com/static/forever/images/product/7760e2607e7488a74486e8de8d3162b5.256p.jpg,TRUE,TRUE,FALSE,FALSE
50,EVGA GeForce RTX 3080 Ti FTW3 Ultra Gaming,4.0,GeForce RTX 3080 Ti,12,10240,19000,1800,1419.99,EVGA,300.0,2.75,3.0,0.0,1.0,3.0,0.0,0.0,G-Sync,350,https://cdna.pcpartpicker.com/static/forever/images/product/7760e2607e7488a74486e8de8d3162b5.256p.jpg,TRUE,TRUE,FALSE,FALSE
51,EVGA GeForce RTX 3080 Ti XC3 Ultra Gaming,4.0,GeForce RTX 3080 Ti,12,10240,19000,1725,1149.99,EVGA,285.37,2.2,2.0,0.0,1.0,3.0,0.0,0.0,,320,https://cdna.pcpartpicker.com/static/forever/images/product/ce6ead6bf41188e4a25e4d71e11035c1.256p.jpg,TRUE,TRUE,FALSE,FALSE
52,EVGA GeForce RTX 3080 XC3 Gaming,4.0,GeForce RTX 3080,10,8704,19000,1710,819.99,EVGA,285.37,2.5,2.0,0.0,1.0,3.0,0.0,0.0,,320,https://cdna.pcpartpicker.com/static/forever/images/product/7760e2607e7488a74486e8de8d3162b5.256p.jpg,TRUE,TRUE,FALSE,FALSE
53,EVGA GeForce RTX 3090 FTW3 Ultra Gaming,4.0,GeForce RTX 3090,24,10496,19500,1800,1249.99,EVGA,300.0,2.5,3.0,0.0,1.0,3.0,0.0,0.0,,350,https://cdna.pcpartpicker.com/static/forever/images/product/ce6ead6bf41188e4a25e4d71e11035c1.256p.jpg,TRUE,TRUE,FALSE,FALSE
54,EVGA GeForce RTX 3090 Ti FTW3,4.0,GeForce RTX 3090 Ti,24,10752,21000,1890,1399.99,EVGA,300.0,3.5,0.0,0.0,1.0,3.0,0.0,0.0,,450,https://cdna.pcpartpicker.com/static/forever/images/product/dc8f6e154e054c59c00ed4e2e9ad77d7.256p.jpg,TRUE,TRUE,FALSE,FALSE
55,EVGA GeForce RTX 3090 Ti FTW3 Ultra,4.0,GeForce RTX 3090 Ti,24,10752,21000,1920,1999.99,EVGA,300.0,3.5,3.0,0.0,1.0,3.0,0.0,0.0,,450,https://cdna.pcpartpicker.com/static/forever/images/product/98d66a3d40876fec0cf643a7f6c6a00e.256p.jpg,TRUE,TRUE,FALSE,FALSE
56,EVGA GeForce RTX 3090 XC3 Ultra Gaming,4.0,GeForce RTX 3090,24,10496,19500,1740,1229.99,EVGA,285.37,2.5,2.0,0.0,1.0,3.0,0.0,0.0,,350,https://cdna.pcpartpicker.com/static/forever/images/product/ce6ead6bf41188e4a25e4d71e11035c1.256p.jpg,TRUE,TRUE,FALSE,FALSE
