#,name,socket,price,producer,base_clock,turbo_clock,cores,threads,tdp,integrated graphics,image_url,gaming,graphic design,programming,office
49,AMD Ryzen 7 1800X,AM4,249.99,AMD,3.6,4.0,8,16,95,,https://cdna.pcpartpicker.com/static/forever/images/product/a12eab97aff3815b6707805450266034.256p.jpg,FALSE,FALSE,TRUE,FALSE
50,AMD Ryzen 7 2700,AM4,149.99,AMD,3.2,4.1,8,16,100,,https://cdna.pcpartpicker.com/static/forever/images/product/fee6d8b626235a58c1cc1577e6760118.256p.jpg,FALSE,FALSE,TRUE,FALSE
51,AMD Ryzen 7 2700X,AM4,249.99,AMD,3.7,4.3,8,16,100,,https://cdna.pcpartpicker.com/static/forever/images/product/4e84967ef18c9b42e543b58c836d73ef.256p.jpg,TRUE,FALSE,TRUE,FALSE
52,AMD Ryzen 7 3700X,AM4,329.00,AMD,3.6,4.4,8,16,65,,https://cdna.pcpartpicker.com/static/forever/images/product/23cd3adfd50037c1b44d6d53edb15248.256p.jpg,TRUE,FALSE,FALSE,FALSE
53,AMD Ryzen 7 3800X,AM4,399.00,AMD,3.9,4.5,8,16,105,,https://cdna.pcpartpicker.com/static/forever/images/product/23cd3adfd50037c1b44d6d53edb15248.256p.jpg,TRUE,FALSE,FALSE,FALSE
54,AMD Ryzen 7 3800XT,AM4,399.00,AMD,3.9,4.7,8,16,105,,https://cdna.pcpartpicker.com/static/forever/images/product/7d225094c05f3106b9e7aab3873a6631.256p.jpg,TRUE,FALSE,FALSE,FALSE
55,AMD Ryzen 7 5700G,AM4,198.99,AMD,3.8,4.6,8,16,65,"Radeon RX Vega 8, Cezanne",https://cdna.pcpartpicker.com/static/forever/images/product/f599944d7bed683e57062447764ce9d9.256p.jpg,TRUE,TRUE,FALSE,FALSE
56,AMD Ryzen 7 5700X,AM4,175.00,AMD,3.4,4.6,8,16,65,,https://cdna.pcpartpicker.com/static/forever/images/product/a0931f2db7bb9c37a199429c85a0d2e1.256p.jpg,TRUE,TRUE,FALSE,FALSE
57,AMD Ryzen 7 5800X,AM4,223.00,AMD,3.8,4.7,8,16,105,,https://cdna.pcpartpicker.com/static/forever/images/product/9b4cefb2e43f2c358f3a97a31e1be90b.256p.jpg,TRUE,TRUE,FALSE,FALSE
58,AMD Ryzen 7 5800X3D,AM4,324.99,AMD,3.4,4.5,8,16,105,,https://cdna.pcpartpicker.com/static/forever/images/product/f83c6c4ee8cb5a6801f35aae5fc5d018.256p.jpg,TRUE,TRUE,FALSE,FALSE
59,AMD Ryzen 7 7700,AM5,328.98,AMD,3.8,5.3,8,16,65,Ryzen 7000 Graphics,https://cdna.pcpartpicker.com/static/forever/images/product/6e6bcad6744a6a7302394f2edf5a6e34.256p.jpg,TRUE,TRUE,FALSE,FALSE
60,AMD Ryzen 7 7700X,AM5,348.99,AMD,4.5,5.4,8,16,105,Ryzen 7000 Graphics,https://cdna.pcpartpicker.com/static/forever/images/product/6d3fb7600f26fb1e94e8b0c1a99e0bfa.256p.jpg,TRUE,TRUE,FALSE,FALSE
61,AMD Ryzen 7 7800X3D,AM5,399.00,AMD,4.2,5.0,8,16,120,Ryzen 7000 Graphics,https://cdna.pcpartpicker.com/static/forever/images/product/f0e0e59d75066ec825667b71c31e3c83.256p.jpg,TRUE,TRUE,FALSE,FALSE
62,AMD Ryzen 9 3900X,AM4,499.00,AMD,3.8,4.6,12,24,105,,https://cdna.pcpartpicker.com/static/forever/images/product/14adcd1fc88ebf386b746037c966b6af.256p.jpg,TRUE,TRUE,FALSE,FALSE
63,AMD Ryzen 9 3900XT,AM4,469.99,AMD,3.8,4.7,12,24,105,,https://cdna.pcpartpicker.com/static/forever/images/product/bb4c0b72e3f78893b1e5b19ab570b2c1.256p.jpg,TRUE,TRUE,FALSE,FALSE
64,AMD Ryzen 9 3950X,AM4,524.99,AMD,3.5,4.7,16,32,105,,https://cdna.pcpartpicker.com/static/forever/images/product/bb4c0b72e3f78893b1e5b19ab570b2c1.256p.jpg,TRUE,TRUE,FALSE,FALSE
65,AMD Ryzen 9 5900X,AM4,346.99,AMD,3.7,4.8,12,24,105,,https://cdna.pcpartpicker.com/static/forever/images/product/1d7073a2deda3bd22963a7e248bbe3e4.256p.jpg,TRUE,TRUE,FALSE,FALSE
